★18:38:08-61.182.85.150★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135295524245700a2-a8b3-400b-be83-b89d1f7a644b","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594520","si":"3190","fee":"30","char_id":"844429225101714","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:34:59-61.182.85.150★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135295524245700a2-a8b3-400b-be83-b89d1f7a644b","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594520","si":"3190","fee":"6","char_id":"844429225101714","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:43:08-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:25:39-106.118.211.187★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"406301310369575c68-3c20-4948-8f78-1723914cf7ce","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646675082","si":"3190","fee":"6","char_id":"844429225110882","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:33:48-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:34:18-39.144.29.93★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"25718632965414f317-aa5f-43b0-9ba6-2be7c08f3057","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598785","si":"3191","fee":"6","char_id":"844433520069551","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:34:28-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:35:12-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:36:11-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:37:30-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"128","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:37:59-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"128","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:39:12-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:39:32-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★21:53:13-39.149.81.109★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"5249759429c58c5c9-9263-4c52-8f47-86d9235c351f","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646594843","si":"3190","fee":"50","char_id":"844429225101797","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★23:11:42-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"128","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★23:35:11-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★23:35:31-118.114.214.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
