★10:52:22-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:24-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:26-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:27-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:29-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:31-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:33-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:35-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:52:39-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"18","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★12:31:38-43.250.245.240★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"18674853539654348f-0eec-4c79-8a63-188ffae6d822","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646592578","si":"3190","fee":"128","char_id":"844429225101355","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:31:02-218.84.6.19★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"13075441573a0e72b6-15f6-4b96-a88b-b0eb0d136a7c","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646599859","si":"3191","fee":"3","char_id":"844433520069819","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:55:19-171.82.58.25★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135322749d591a905-631b-4ddf-9cf7-16f5e38870eb","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646606443","si":"3233","fee":"30","char_id":"844437815038134","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★17:24:00-182.105.247.86★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2174256057a511b211-a9ca-4f5d-bbad-b1ad5e9e3c86","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646598425","si":"3191","fee":"1","char_id":"844433520069346","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:03:13-171.221.127.41★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:03:38-171.221.127.41★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"68","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:04:04-171.221.127.41★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:04:36-171.221.127.41★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:56:55-223.88.126.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"213532598304545518-926c-431d-bc1a-fa368a36852f","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593750","si":"3190","fee":"3","char_id":"844429225101521","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:32:37-117.136.75.243★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"480705737c1e17706-fe85-43a3-8b7e-86ae440ac796","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646595959","si":"3190","fee":"30","char_id":"844429225102236","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★21:56:56-27.153.245.22★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"1073379661c02acb80-0593-422c-a856-09fd1f17a55a","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646596892","si":"3190","fee":"45","char_id":"844429225102690","sku":"com.wjgame.yxzd.tf.736430079244417834"}
